,Year,Month,Barrels,Quantity,OPEC_barrels,US_barrels
0,2011,4,1089000400,15737,,
1,2011,5,953852800,13784,,
2,2011,6,964302000,13935,,
3,2011,7,951500000,13750,,
4,2011,8,987068800,14264,,
5,2011,9,898908000,12990,,
6,2011,10,862439600,12463,,
7,2011,11,1027620000,14850,,
8,2011,12,964163600,13933,962959600.0,1204000.0
9,2012,1,1177576400,17017,1176653400.0,923000.0
10,2012,2,949354800,13719,948217800.0,1137000.0
11,2012,3,1057998800,15289,1057420800.0,578000.0
12,2012,4,1024782800,14809,1023984800.0,798000.0
13,2012,5,1081388400,15627,1080360400.0,1028000.0
14,2012,6,1025336400,14817,1024247400.0,1089000.0
15,2012,7,1009904800,14594,1008163800.0,1741000.0
16,2012,8,1041114000,15045,1039860000.0,1254000.0
17,2012,9,1054331200,15236,1053468200.0,863000.0
18,2012,10,1142007600,16503,1141502600.0,505000.0
19,2012,11,1072254000,15495,1070157000.0,2097000.0
20,2012,12,1108653200,16021,1107314200.0,1339000.0
21,2013,1,1269474000,18345,1269055000.0,419000.0
22,2013,2,924927200,13366,924015200.0,912000.0
23,2013,3,1033571200,14936,1032247200.0,1324000.0
24,2013,4,1135433600,16408,1134260600.0,1173000.0
25,2013,5,1188925200,17181,1187878200.0,1047000.0
26,2013,6,990252000,14310,988378000.0,1874000.0
27,2013,7,1131627600,16353,1129417600.0,2210000.0
28,2013,8,1216051600,17573,1215210600.0,841000.0
29,2013,9,1043674400,15082,1043108400.0,566000.0
30,2013,10,1062981200,15361,1061401200.0,1580000.0
31,2013,11,1011288800,14614,1009949800.0,1339000.0
32,2013,12,1094882400,15822,1093163400.0,1719000.0
33,2014,1,1072807600,15503,1071423600.0,1384000.0
34,2014,2,1142838000,16515,1141370000.0,1468000.0
35,2014,3,1004507200,14516,1002334200.0,2173000.0
36,2014,4,1169618400,16902,1167910400.0,1708000.0
37,2014,5,1031426000,14905,1029502000.0,1924000.0
38,2014,6,1121801200,16211,1119074200.0,2727000.0
39,2014,7,984162400,14222,981626400.0,2536000.0
40,2014,8,1106508000,15990,1104802000.0,1706000.0
41,2014,9,1106438800,15989,1104667800.0,1771000.0
42,2014,10,1120555600,16193,1118767600.0,1788000.0
43,2014,11,1038346000,15005,1035394000.0,2952000.0
44,2014,12,1163944000,16820,1160550000.0,3394000.0
45,2015,1,1225878000,17715,1224832000.0,1046000.0
46,2015,2,899115600,12993,895923600.0,3192000.0
47,2015,3,1141038800,16489,1138109800.0,2929000.0
48,2015,4,1075022000,15535,1072925000.0,2097000.0
49,2015,5,1207816800,17454,1205255800.0,2561000.0
50,2015,6,1080834800,15619,1078666800.0,2168000.0
51,2015,7,1227054400,17732,1224715400.0,2339000.0
52,2015,8,1192662000,17235,1191401000.0,1261000.0
53,2015,9,1092460400,15787,1089861400.0,2599000.0
54,2015,10,1077305600,15568,1074541600.0,2764000.0
55,2015,11,1151211200,16636,1148107200.0,3104000.0
56,2015,12,1226639200,17726,1224251200.0,2388000.0
57,2016,1,1254526800,18129,1251915800.0,2611000.0
58,2016,2,1168234400,16882,1165138400.0,3096000.0
59,2016,3,1283383200,18546,1279189200.0,4194000.0
60,2016,4,1242832000,17960,1237506000.0,5326000.0
61,2016,5,1212868400,17527,1206726400.0,6142000.0
62,2016,6,1219996000,17630,1214579000.0,5417000.0
63,2016,7,1191208800,17214,1184846800.0,6362000.0
64,2016,8,1301721200,18811,1297607200.0,4114000.0
65,2016,9,1229130400,17762,1224987400.0,4143000.0
66,2016,10,1256187600,18153,1252073600.0,4114000.0
67,2016,11,1297915200,18756,1296296200.0,1619000.0
68,2016,12,1246015200,18006,1241876200.0,4139000.0
69,2017,1,1207263200,17446,1204092200.0,3171000.0
70,2017,2,1138686000,16455,1131716000.0,6970000.0
71,2017,3,1260270400,18212,1254301400.0,5969000.0
72,2017,4,1254388400,18127,1248664400.0,5724000.0
73,2017,5,1238887600,17903,1233732600.0,5155000.0
74,2017,6,1222487200,17666,1216157200.0,6330000.0
75,2017,7,1198544000,17320,1194217000.0,4327000.0
76,2017,8,1253419600,18113,1246024600.0,7395000.0
77,2017,9,1220964800,17644,1213926800.0,7038000.0
78,2017,10,1316806800,19029,1308633800.0,8173000.0
79,2017,11,1328017200,19191,1321499200.0,6518000.0
80,2017,12,1338258800,19339,1332073800.0,6185000.0
81,2018,1,1388567200,20066,1383563200.0,5004000.0
82,2018,2,1220065200,17631,1214758200.0,5307000.0
83,2018,3,1273626000,18405,1267041000.0,6585000.0
